Website,Product Name,Price,Discount,Rating,Product URL,Image URL
Jumia,Huawei Watch GT3 Pro Smart Watch 46mm 22mm Silicone Leather Replacement Strap Watchband - Camel Silver Buckle,EGP 180.00,40%,3.9 out of 5,https://www.jumia.com.eg/generic-huawei-watch-gt3-pro-smart-watch-46mm-22mm-silicone-leather-replacement-strap-watchband-camel-silver-buckle-34082009.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/028043/1.jpg?2084
Jumia,Metal Stainless Steel Strap 22mm Strap For Smart Watch Amazfit Pop 3R - Band Bracelet - Black,EGP 180.00,40%,5 out of 5,https://www.jumia.com.eg/generic-metal-stainless-steel-strap-22mm-strap-for-smart-watch-amazfit-pop-3r-band-bracelet-black-117975497.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/4579711/1.jpg?6890
Jumia,22mm Silicone Strap With Magnetic Folding Buckle For Xiaomi Watch S1/S1 Active/Mi Watch - Black,EGP 140.00,53%,4.8 out of 5,https://www.jumia.com.eg/generic-22mm-silicone-strap-with-magnetic-folding-buckle-for-xiaomi-watch-s1s1-activemi-watch-black-45946032.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/064954/1.jpg?3984
Jumia,Silicone Watch Band Compatible With Xiaomi Redmi Watch 3 Active / Xiaomi Mi Watch 3 Active Sport Silicone Wrist Strap (Black),EGP 135.00,21%,4.8 out of 5,https://www.jumia.com.eg/generic-silicone-watch-band-compatible-with-xiaomi-redmi-watch-3-active-xiaomi-mi-watch-3-active-sport-silicone-wrist-strap-black-52108981.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/980125/1.jpg?0359
Jumia,Magnetic Charging Cable For Amafit Pop 3S Smart Watch Black,EGP 160.00,20%,No Rating Found,https://www.jumia.com.eg/generic-magnetic-charging-cable-for-amafit-pop-3s-smart-watch-black-116109493.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/4901611/1.jpg?8364
Jumia,Huawei Band 6 Smart Watch Soft Silicone Sport Band Breathable Band For Honor Band 6 By Tentech – Pink,EGP 98.00,39%,4 out of 5,https://www.jumia.com.eg/generic-huawei-band-6-smart-watch-soft-silicone-sport-band-breathable-band-for-honor-band-6-by-tentech-pink-101208863.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/8802101/1.jpg?1815
Jumia,22mm Leather Watch Strap Compatible With Huawei Gt3 46 - Gt3 Pro 46 Replacement Strap Brown,EGP 220.00,45%,5 out of 5,https://www.jumia.com.eg/generic-22mm-leather-watch-strap-compatible-with-huawei-gt3-46-gt3-pro-46-replacement-strap-brown-92567861.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/876529/1.jpg?7347
Jumia,Sport Silicone Strap For Huawei Watch Fit 3 (2024) Bracelet Ivory,EGP 135.00,33%,4.4 out of 5,https://www.jumia.com.eg/generic-sport-silicone-strap-for-huawei-watch-fit-3-2024-bracelet-ivory-107796765.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/7697701/1.jpg?6369
Jumia,Metal Stainless Steel Strap 22mm Strap For Huawei GT5 46mm 2024 Band Bracelet - Silver,EGP 180.00,40%,4.7 out of 5,https://www.jumia.com.eg/generic-metal-stainless-steel-strap-22mm-strap-for-huawei-gt5-46mm-2024-band-bracelet-silver-117975493.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/4579711/1.jpg?6890
Jumia,Silicon Strap For Smat Watche - Compatible With Apple & Similars - 42 Mm To 49 Mm,EGP 119.00,52%,5 out of 5,https://www.jumia.com.eg/generic-silicon-strap-for-smat-watche-compatible-with-apple-similars-42-mm-to-49-mm-123456571.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/5654321/1.jpg?4729
